"name","country","pop"
"Guantanamo","Cuba","272801"
"Orlando","United States","270934"
"Santa Catarina","Mexico","268347"
"Chula Vista","United States","265757"
"Uruapan","Mexico","264439"
"Jersey City","United States","264290"
"Markham","Canada","261573"
"Chandler","United States","260828"
"Fort Wayne","United States","260326"
"Buffalo","United States","258071"
"Durham","United States","257636"
"Gomez Palacio","Mexico","257352"
"St. Petersburg","United States","257083"
"Irvine","United States","256927"
"Los Mochis","Mexico","256613"
"Pachuca de Soto","Mexico","256584"
"Laredo","United States","255473"
"Oaxaca","Mexico","255029"
"Soledad de Graciano Sanchez","Mexico","255015"
"Santa Clara","Cuba","250512"
"Colonia del Valle","Mexico","250000"
"Port-de-Paix","Haiti","250000"
"Lubbock","United States","249042"
"Madison","United States","248951"
"Tehuacan","Mexico","248716"
"Oshawa","Canada","247989"
"Gilbert","United States","247542"
"Norfolk","United States","246393"
"Louisville","United States","243639"
"Ojo de Agua","Mexico","242272"
"Gatineau","Canada","242124"
"Reno","United States","241445"
"Winston-Salem","United States","241218"
"Glendale","United States","240126"
"Vaughan","Canada","238866"
"Magdalena Contreras","Mexico","238431"
"Hialeah","United States","237069"
"Garland","United States","236897"
"Scottsdale","United States","236839"
"Irving","United States","236607"
"Coatzacoalcos","Mexico","235983"
"Chesapeake","United States","235429"
"North Las Vegas","United States","234807"
"Kitchener","Canada","233700"
"Fremont","United States","232206"
"Longueuil","Canada","229330"
"Croix-des-Bouquets","Haiti","229127"
"Baton Rouge","United States","228590"
"Nassau","Bahamas","227940"
"Diez de Octubre","Cuba","227293"
"Lexington","United States","225366"
"Paradise","United States","223167"
"Campeche","Mexico","220389"
"Richmond","United States","220289"
"San Pedro de Macoris","Dominican Republic","217899"
"Jamaica","United States","216866"
"San Bernardino","United States","216108"
"Monclova","Mexico","215271"
"La Paz","Mexico","215178"
"Spokane","United States","213272"
"Nogales","Mexico","212533"
"Birmingham","United States","212461"
"Modesto","United States","211266"
"Des Moines","United States","210330"
"Arroyo Naranjo","Cuba","210053"
"Rochester","United States","209802"
"La Romana","Dominican Republic","208437"
"Maryvale","United States","208189"
"Tacoma","United States","207948"
"Arlington","United States","207627"
"Fontana","United States","207460"
"Oxnard","United States","207254"
"Buenavista","Mexico","206081"
"Moreno Valley","United States","204198"
"Las Tunas","Cuba","203684"
"Bayamon","Puerto Rico","203499"
"Puerto Vallarta","Mexico","203342"
"Burnaby","Canada","202799"
"Tapachula","Mexico","202672"
"Fayetteville","United States","201963"
"Huntington Beach","United States","201899"
"Yonkers","United States","201116"
"Glendale","United States","201020"
"Aurora","United States","200661"
"Montgomery","United States","200602"
"Columbus","United States","200579"
"Ladner","Canada","200000"
"Saskatoon","Canada","198958"
"Amarillo","United States","198645"
"Little Rock","United States","197992"
"Akron","United States","197542"
"Ciudad Madero","Mexico","197216"
"Shreveport","United States","197204"
"Grand Rapids","United States","195097"
"Mobile","United States","194288"
"Salt Lake City","United States","192672"
"Bayamo","Cuba","192632"
"Huntsville","United States","190582"
"Tallahassee","United States","189907"
"Sunrise Manor","United States","189372"
"Boyeros","Cuba","188593"
"Grand Prairie","United States","187809"
"Chilpancingo","Mexico","187251"
"Pinar del Rio","Cuba","186990"
"Cienfuegos","Cuba","186644"
"Overland Park","United States","186515"
"Richmond Hill","Canada","185541"
"Knoxville","United States","185291"
"Poza Rica de Hidalgo","Mexico","185242"
"Worcester","United States","184815"
"Brownsville","United States","183887"
"Newport News","United States","182385"
"Santa Clarita","United States","182371"
"Barrie","Canada","182041"
"Richmond","Canada","182000"
"Harlem","United States","181259"
"Nepean","Canada","180000"
"Providence","United States","179207"
"Fort Lauderdale","United States","178590"
"East Flatbush","United States","178464"
"Spring Valley","United States","178395"
"Habana del Este","Cuba","178041"
"Santa Ana","El Salvador","176661"
"Chattanooga","United States","176588"
"Regina","Canada","176183"
"Tempe","United States","175826"
"Oceanside","United States","175691"
"Bella Vista","Dominican Republic","175683"
"Garden Grove","United States","175393"
"Rancho Cucamonga","United States","175236"
"Cape Coral","United States","175229"
"Santa Rosa","United States","174972"
"East New York","United States","173198"
"Chicoloapan","Mexico","172919"
"Vancouver","United States","172860"
"Sioux Falls","United States","171544"
"Peoria","United States","171237"
"Ontario","United States","171214"
"Jackson","United States","170674"
"Carolina","Puerto Rico","170404"
"Ciudad del Carmen","Mexico","169466"
"Chalco","Mexico","168720"
"Hollywood","United States","167664"
"Elk Grove","United States","166913"
"Springfield","United States","166810"
"Pembroke Pines","United States","166611"
"Oakville","Canada","165697"
"Deer Valley","United States","165656"
"Port Saint Lucie","United States","164603"
"Salem","United States","164549"
"Burlington","Canada","164415"
"Corona","United States","164226"
"Eugene","United States","163460"
"McKinney","United States","162898"
"Jiutepec","Mexico","162427"
"San Miguel","El Salvador","161880"
"Fort Collins","United States","161175"
"Lancaster","United States","161103"
"Delegacion Cuajimalpa de Morelos","Mexico","160491"
"Mejicanos","El Salvador","160317"
"Salamanca","Mexico","160169"
"Cary","United States","159769"
"San Miguel del Padron","Cuba","159273"
"Tempe Junction","United States","158368"
"Palmdale","United States","158351"
"Hayward","United States","158289"
"Centro Habana","Cuba","158151"
"San Luis Rio Colorado","Mexico","158089"
"San Cristobal de las Casas","Mexico","158027"
"Greater Sudbury","Canada","157857"
"Salinas","United States","157380"
"San Pablo de las Salinas","Mexico","156191"
"Frisco","United States","154407"
"Cuautla","Mexico","154358"
"Springfield","United States","154341"
"San Cristobal","Dominican Republic","154040"
"East Chattanooga","United States","154024"
"Pasadena","United States","153784"
"Alexandria","United States","153511"
"Pomona","United States","153266"
"Ponce","Puerto Rico","152634"
"Washington Heights","United States","152613"
"Lakewood","United States","152597"
"Ciudad Benito Juarez","Mexico","151893"
"Sunnyvale","United States","151754"
"Abbotsford","Canada","151683"
"Escondido","United States","151451"
"Kansas City","United States","151306"
"Chetumal","Mexico","151243"
"Piedras Negras","Mexico","150178"
"Astoria","United States","150165"
"Playa del Carmen","Mexico","149923"
"Hollywood","United States","149728"
"Borough Park","United States","149248"
"Clarksville","United States","149176"
"Torrance","United States","148475"
"Valencia","United States","148456"
"Rockford","United States","148278"
"East Hampton","United States","147993"
"Joliet","United States","147861"
"Paterson","United States","147754"
"Bridgeport","United States","147629"
"Naperville","United States","147100"
"Matanzas","Cuba","146733"
"Puerto Plata","Dominican Republic","146000"
"Boise","United States","145987"
"Savannah","United States","145674"
"Spanish Town","Jamaica","145018"
"Mesquite","United States","144788"
"Leon","Nicaragua","144538"
"Syracuse","United States","144142"
"Saguenay","Canada","143692"
"Metairie Terrace","United States","142489"
"Pasadena","United States","142250"
"Ciego de Avila","Cuba","142027"
"Zamora","Mexico","141627"
"Petapa","Guatemala","141455"
"Orange","United States","140992"
"Cordoba","Mexico","140896"
"Fullerton","United States","140847"
"Killeen","United States","140806"
"Dayton","United States","140599"
"McAllen","United States","140269"
"Bellevue","United States","139820"
"Choloma","Honduras","139100"
"San Juan del Rio","Mexico","138878"
"Metairie","United States","138481"
"Jacmel","Haiti","137966"
"Colima","Mexico","137383"
"Miramar","United States","137132"
"San Juan Sacatepequez","Guatemala","136886"
"Hampton","United States","136454"
"Van Nuys","United States","136443"
"West Valley City","United States","136208"
"Okap","Haiti","134815"
"Olathe","United States","134305"
"Ciudad Acuna","Mexico","134233"
"Leogane","Haiti","134190"
"Warren","United States","134056"
"Columbia","United States","133803"
"Thornton","United States","133451"
"Carrollton","United States","133168"
"Midland","United States","132950"
"Charleston","United States","132609"
"Waco","United States","132356"
"Cerro","Cuba","132351"
"Quetzaltenango","Guatemala","132230"
"Sterling Heights","United States","132052"
"St. Catharines","Canada","131989"
"Denton","United States","131044"
"Cedar Rapids","United States","130405"
"New Haven","United States","130322"
"Roseville","United States","130269"
"La Ceiba","Honduras","130218"
"Gainesville","United States","130128"
"Masaya","Nicaragua","130113"
"Visalia","United States","130104"
"Manzanillo","Mexico","130035"
"Coral Springs","United States","129485"
"Sherbrooke","Canada","129447"
"Thousand Oaks","United States","129339"
"Zacatecas","Mexico","129011"
"Elizabeth","United States","129007"
"Stamford","United States","128874"
"Concord","United States","128667"
"Surprise","United States","128422"
"Manzanillo","Cuba","128188"
"Alhambra","United States","127764"
"Lafayette","United States","127657"
"Topeka","United States","127265"
"Sancti Spiritus","Cuba","127069"
"Kent","United States","126952"
"Simi Valley","United States","126788"
"East Los Angeles","United States","126496"
"Anmore","Canada","126456"
"Levis","Canada","126396"
"Chinandega","Nicaragua","126387"
"Santa Clara","United States","126215"
"Murfreesboro","United States","126118"
"Sunset Park","United States","126000"
"Les Cayes","Haiti","125799"
"Kelowna","Canada","125109"
"Willemstad","Curacao","125000"
"Huixquilucan","Mexico","124846"
"San Francisco de Macoris","Dominican Republic","124763"
"Santa Tecla","El Salvador","124694"
"Ciudad Valles","Mexico","124644"
"Guadalupe","Mexico","124623"
"Koreatown","United States","124281"
"Hartford","United States","124006"
"Salvaleon de Higueey","Dominican Republic","123787"
"San Pedro Garza Garcia","Mexico","122627"
"Sheepshead Bay","United States","122534"
"Amherst","United States","122366"
"Victorville","United States","122225"
"Villa Canales","Guatemala","122194"
"San Pedro Garza Garcia","Mexico","122009"
"Abilene","United States","121721"
"Vallejo","United States","121253"
"North Stamford","United States","121230"
"Berkeley","United States","120972"
"Fresnillo","Mexico","120944"
